address,city,state,zip,asking_price,beds,baths,sqft,hoa_monthly,property_type,mls_id,listing_url,market_area,source_zips
1603 Barberry Dr,Kindred,FL,34744,420000,4,2,1846,11,single_family,O6398483,https://www.redfin.com/FL/Kindred/1603-Barberry-Dr-34744/home/177669991,kissimmee,34744
7677 Fitzclarence St,Kissimmee,FL,34747,420000,3,3,1440,571,condo,S5152612,https://www.redfin.com/FL/Kissimmee/7677-Fitzclarence-St-34747/home/46479375,kissimmee,34747
8875 Geneve Ct,Kissimmee,FL,34747,420000,5,4.5,2263,665,condo,O6422639,https://www.redfin.com/FL/Kissimmee/8875-Geneve-Ct-34747/home/168032346,kissimmee,33896
4957 Pall Mall St E,Kissimmee,FL,34758,420000,5,3,2000,354,single_family,S5150590,https://www.redfin.com/FL/Kissimmee/4957-Pall-Mall-St-34758/home/46499381,kissimmee,34758
2355 Andrews Valley Dr,Kissimmee,FL,34758,420000,5,3,2844,42,single_family,O6378363,https://www.redfin.com/FL/Kissimmee/2355-Andrews-Valley-Dr-34758/home/46489476,kissimmee,34758
Marisol Plan,Orlando,FL,32824,421990,3,2.5,1546,,condo,D42A68AFA13B,https://www.redfin.com/FL/Orlando/Orlando/Marisol/home/203184511,kissimmee,32824
4664 Caverns Dr,Kissimmee,FL,34758,423000,4,2.5,3439,67,single_family,S5155224,https://www.redfin.com/FL/Kissimmee/4664-Caverns-Dr-34758/for-sale/46499984,kissimmee,34758
5347 Harmony Pl,Kissimmee,FL,34758,423979,4,2,1681,,single_family,O6430579,https://www.redfin.com/FL/Kissimmee/5347-Harmony-Pl-34758/for-sale/46573443,kissimmee,34758
10354 Laxton St,Orlando,FL,32824,424000,3,2,1875,37,single_family,O6429628,https://www.redfin.com/FL/Orlando/10354-Laxton-St-32824/for-sale/46597098,kissimmee,32824
2627 Oneida Loop,Kissimmee,FL,34747,424801,4,3,1778,,single_family,O6420584,https://www.redfin.com/FL/Kissimmee/2627-Oneida-Loop-34747/home/46476332,kissimmee,34747
3012 Villa Preciosa Dr,Kissimmee,FL,34744,424900,4,2,2074,160,single_family,O6310848,https://www.redfin.com/FL/Kissimmee/3012-Villa-Preciosa-Dr-34744/home/46477053,kissimmee,34744
5863 LE Marin Way,Kissimmee,FL,34758,424900,5,3,2451,125,single_family,S5151584,https://www.redfin.com/FL/Kissimmee/5863-Le-Marin-Way-34758/home/193893304,kissimmee,34758
1856 Howard Mesa Dr,Kindred,FL,34744,424990,4,2,1665,10,single_family,O6428574,https://www.redfin.com/FL/Kindred/1856-Howard-Mesa-Dr-34744/for-sale/188668352,kissimmee,34744
4806 Cumbrian Lakes Dr,Kissimmee,FL,34746,424999,4,3.5,1836,175,single_family,S5154747,https://www.redfin.com/FL/Kissimmee/4806-Cumbrian-Lakes-Dr-34746/for-sale/46481590,kissimmee,34746
12018 Greco,Orlando,FL,32824,425000,4,3,2364,45,single_family,O6414522,https://www.redfin.com/FL/Orlando/12018-Greco-Dr-32824/home/46843356,kissimmee,32824
2378 Brewerton Ln,Orlando,FL,32824,425000,3,2,1563,155,single_family,O6422649,https://www.redfin.com/FL/Orlando/2378-Brewerton-Ln-32824/home/46644908,kissimmee,32824
10256 Laxton St,Orlando,FL,32824,425000,3,2,1624,37,single_family,O6397488,https://www.redfin.com/FL/Orlando/10256-Laxton-St-32824/home/46597103,kissimmee,32824
1448 Derby Glen Dr,Orlando,FL,32837,425000,3,2,1868,26,single_family,B26051291,https://www.redfin.com/FL/Orlando/1448-Derby-Glen-Dr-32837/home/46588200,kissimmee,32837
10700 Gardenwood Rd,Orlando,FL,32837,425000,4,2,1382,7,single_family,O6352404,https://www.redfin.com/FL/Orlando/10700-Gardenwood-Rd-32837/home/46744828,kissimmee,32837
2104 Mallard Creek Cir,Kissimmee,FL,34743,425000,4,2,1952,28,single_family,S5155215,https://www.redfin.com/FL/Kissimmee/2104-Mallard-Creek-Cir-34743/for-sale/46546416,kissimmee,34743
2705 Willow Glen Cir,Kissimmee,FL,34744,425000,4,3,1679,22,single_family,G5113160,https://www.redfin.com/FL/Kissimmee/2705-Willow-Glen-Cir-34744/home/46575513,kissimmee,34744
1781 King Charles Dr,Kissimmee,FL,34744,425000,4,2,2054,,single_family,S5151033,https://www.redfin.com/FL/Kissimmee/1781-King-Charles-Dr-34744/home/46509062,kissimmee,34744
1687 Park Side Ave,Kindred,FL,34744,425000,4,2,1846,10,single_family,S5151674,https://www.redfin.com/FL/Kindred/1687-Park-Side-Ave-34744/home/177670023,kissimmee,34744
0 Lions Ct,Kissimmee,FL,34744,425000,,,,,8,S5147244,https://www.redfin.com/FL/Kissimmee/Lion-Ct-34744/home/146623477,kissimmee,34744
1021 Tourmaline Dr,Kissimmee,FL,34746,425000,4,2,1397,205,single_family,TB8519437,https://www.redfin.com/FL/Kissimmee/1021-Tourmaline-Dr-34746/home/46497651,kissimmee,34746
156 Barefoot Beach Way,Kissimmee,FL,34746,425000,4,3,1549,466,single_family,O6412507,https://www.redfin.com/FL/Kissimmee/156-Barefoot-Beach-Way-34746/home/46479526,kissimmee,34746
4700 Cumbrian Lakes Dr,Kissimmee,FL,34746,425000,4,2.5,1908,175,single_family,O6416389,https://www.redfin.com/FL/Kissimmee/4700-Cumbrian-Lakes-Dr-34746/home/46581421,kissimmee,34746
7770 Sandy Ridge Dr #227,Reunion,FL,34747,425000,5,4.5,2703,654,townhouse,O6427088,https://www.redfin.com/FL/Reunion/7770-Sandy-Ridge-Dr-34747/unit-227/home/187219763,kissimmee,34747
3151 Sunset Walk Dr #116,Kissimmee,FL,34747,425000,1,1,960,777,townhouse,S5153810,https://www.redfin.com/FL/Kissimmee/3151-Sunset-Walk-Dr-34747/unit-116/home/203152340,kissimmee,34747
7901 Putting Way,Reunion,FL,34747,425000,3,2.5,1659,678,condo,TB8531257,https://www.redfin.com/FL/Reunion/7901-Putting-Green-Way-34747/home/173829514,kissimmee,34747
331 Ashburton Way,Kissimmee,FL,34758,425000,4,3,2679,100,single_family,O6431564,https://www.redfin.com/FL/Kissimmee/331-Ashburton-Way-34758/for-sale/46558971,kissimmee,34758
4851 Pearl Lake Ct,Kissimmee,FL,34758,425000,4,2,2116,120,single_family,O6421367,https://www.redfin.com/FL/Kissimmee/4851-Pearl-Lake-Ct-34758/home/162546398,kissimmee,34758
