address,city,state,zip,asking_price,beds,baths,sqft,hoa_monthly,property_type,mls_id,listing_url,market_area,source_zips
1586 Marlin Dr,Poinciana,FL,34759,45000,,,,35,8,R4911632,https://www.redfin.com/FL/Poinciana/1586-Marlin-Dr-34759/home/46255611,poinciana,34759
1581 Marlin Dr,Poinciana,FL,34759,45000,,,,35,8,R4911631,https://www.redfin.com/FL/Poinciana/1581-Marlin-Dr-34759/home/46255627,poinciana,34759
408 Vernon Ct,Poinciana,FL,34759,45000,,,,35,8,S5150086,https://www.redfin.com/FL/Poinciana/408-Vernon-Ct-34759/home/46256609,poinciana,34759
519 St. Johns Ct,Poinciana,FL,34759,45000,,,,,8,L4961837,https://www.redfin.com/FL/Poinciana/Unknown-34759/home/46254189,poinciana,34759
0 7th St,St Cloud,FL,34771,45000,,,,,8,O6266915,https://www.redfin.com/FL/St-Cloud/0-7th-St-34769/home/194064972,poinciana,34769
2446 Rio Grande Valley Ct,Poinciana,FL,34759,46000,,,,35,8,1080984,https://www.redfin.com/FL/Poinciana/2446-Rio-Grande-Valley-Ct-34759/home/46170886,poinciana,34759
2324 Rio Grande Forest Ln,Poinciana,FL,34759,46000,,,,35,8,1080987,https://www.redfin.com/FL/Poinciana/2324-Rio-Grande-Forest-Ln-34759/home/46170901,poinciana,34759
2328 Rio Grande Forest Ln,Poinciana,FL,34759,46000,,,,35,8,1080985,https://www.redfin.com/FL/Poinciana/2328-Rio-Grande-Forest-Ln-34759/home/46170902,poinciana,34759
7350 Midway Ln #54,Lake Wales,FL,33898,47500,,,,125,8,P4937973,https://www.redfin.com/FL/Lake-Wales/7350-Midway-Ln-33898/unit-54/home/46160145,poinciana,33898
133 Sparrow Ct,Poinciana,FL,34759,48000,,,,40,8,S5148752,https://www.redfin.com/FL/Poinciana/133-Sparrow-Ct-34759/home/46262759,poinciana,34759
Hwy 630 E,Frostproof,FL,33843,49000,,,,,8,O6299925,https://www.redfin.com/FL/Frostproof/Hwy-630-E-33843/home/46145489,poinciana,33898
Shore Dr,Lake Wales,FL,33898,49000,,,,,8,G5101941,https://www.redfin.com/FL/Lake-Wales/Shore-Dr-33898/home/162614122,poinciana,33898
Hwy. 60 East,Lake Wales,FL,33898,49000,,,,,8,G5101942,https://www.redfin.com/FL/Lake-Wales/Unknown-33898/home/163264436,poinciana,33898
